,Unnamed: 0,index,business_id,latitude,longitude,stars_y,postal_code,categories_count,checkin_count,location,open,environment,value,taste,food,survice,feeling
0,0,0,01ZiJg7w-SwR0EpljCfvVA,36.162138073899996,-115.1479361357,5.0,89101.0,4,1,2.33,3.0,1.2,3.0,1.0,2.24,3.33,3.33
1,1,7,039QG6ks4UYNkMA3mcII2A,36.11362800000001,-115.130218,4.5,89119.0,4,39,2.94,2.57,1.2,3.0,1.0,2.24,2.33,2.33
2,2,46,03CPJNrFQsVPjSjoKEM-yQ,36.1872801,-115.3038069,4.5,89134.0,7,1,3.0,2.67,1.2,1.0,1.0,2.24,3.0,2.67
3,3,56,06O28tWO0UHdOJpGyu5wRg,36.1593569,-115.20343590000002,5.0,89102.0,10,1,2.0,1.0,1.2,1.0,1.0,2.24,2.29,3.0
4,4,59,07MpHT8TrGDI_UVktfKMPA,36.1553322693,-115.33245231549999,4.0,89135.0,5,10,2.0,1.0,1.2,1.0,1.0,2.24,2.29,3.0
5,5,63,096iGHoQ-UImxUExuyqlZA,36.243284399000004,-115.23521816959999,5.0,89130.0,2,18,2.12,1.33,1.2,1.0,1.0,2.24,2.29,2.44
6,6,86,0G1y7uV7w1D2uziS4Lt_Dw,36.0996135,-115.1039133,3.5,89121.0,2,565,3.79,3.64,3.74,3.73,2.2,3.66,3.85,3.68
7,7,285,0G83H_zoum-Q4bWU2olTqQ,36.1161693,-115.2418516,4.5,89103.0,6,24,4.38,3.88,4.0,5.0,4.67,4.0,4.36,4.7
8,8,324,0ISVzBIyAUvSCxLlh-1B1Q,36.14564489999999,-115.24137079999998,5.0,89178.0,3,1,1.0,2.0,3.97,3.4,4.0,4.08,3.5,2.0
9,9,327,0M4fn7ib4zJF6CF0XPLSfg,36.1153713933,-115.22328034040001,4.5,89103.0,5,1,1.0,2.0,3.97,3.4,4.0,4.08,3.5,2.0
10,10,332,0VR7qNhOKCPI0W__-NccEg,35.998896,-115.1102541,5.0,89052.0,5,1,1.0,3.67,3.97,3.4,4.0,4.08,5.0,3.0
11,11,335,0VzICXStfUAG3QCEgLPeAA,36.128561,-115.1711298,3.5,89109.0,4,4,3.92,1.0,3.97,3.4,4.0,4.08,3.82,3.0
12,12,340,0bSP8Md5Sz_NxByCsuoYCA,36.012847,-115.1204987,4.5,89183.0,2,75,3.92,4.57,3.97,3.4,4.0,4.08,3.82,1.5
13,13,367,0e2oJ82g4ZfvQzIc8SE9Xw,36.0673536,-115.2718513,4.5,89113.0,3,35,2.25,3.74,3.97,1.0,4.0,4.08,3.6,3.78
14,14,490,0eaQLn6u8yhgts93_DlQ-A,36.1485914,-115.2439612,4.5,89146.0,8,5,3.43,4.0,3.97,4.75,4.0,4.08,4.0,4.6
15,15,512,0gTTGuA6uEmMhLhfJi0hqA,36.1158229,-115.2996399,3.5,89147.0,5,740,4.09,4.15,3.97,4.19,4.0,4.08,4.07,4.06
16,16,692,0mK7-2fQt684NLJt-ZBalg,36.1462948,-115.2072085,4.0,89102.0,4,20,4.27,4.75,3.93,4.4,3.5,5.0,4.43,4.12
17,17,717,0p405x2TRJCPYfHHt1sgTA,36.159312,-115.20098,2.0,89102.0,8,31,4.62,4.45,3.93,4.75,5.0,5.0,4.71,4.25
18,18,742,0rQbXoU_f2WQJiWHWFpgkQ,36.15914160000001,-115.15264779999998,4.0,89104.0,13,8,4.8,4.75,3.93,4.67,5.0,5.0,4.0,4.67
19,19,750,0uasL7MepHHQrVNgIhdG3g,36.0118343,-115.15306470000002,2.5,89183.0,2,3,5.0,5.0,3.93,5.0,5.0,5.0,4.0,5.0
20,20,759,0wkb5qqHP6PQlNhgwg2UmQ,36.0681543,-115.174899,3.0,89119.0,3,7,4.2,4.5,3.93,4.5,5.0,5.0,4.0,5.0
21,21,765,0x-mYPoatVE0DNlZhha0_w,36.1285541,-115.2986458,3.0,89117.0,2,1,4.5,5.0,3.93,5.0,4.0,5.0,3.75,5.0
22,22,771,143ym0TQNgSVxW7BW23Azw,36.096607,-115.181922,5.0,89118.0,4,1,5.0,4.33,3.93,5.0,4.0,5.0,4.33,4.5
23,23,778,14UPvbDf13zKWim68HsHdQ,36.143551,-115.2539203,1.5,89117.0,3,13,4.0,4.5,3.93,4.5,4.0,5.0,3.0,4.5
24,24,788,14v_52xWsg51JGffXDonAw,36.1439144,-115.1847867,5.0,89102.0,6,2,1.0,1.0,3.93,1.0,4.0,5.0,2.5,4.5
25,25,791,15KIfPDU5IQ07l79Wn1Eew,36.160057,-115.224788,4.0,89146.0,2,43,4.25,1.0,3.93,4.0,4.0,5.0,4.5,4.5
26,26,808,1Df5WnLX3DqN6ymlhqznaQ,36.1151569,-115.14971,4.5,89119.0,6,1016,3.89,3.97,3.93,4.01,4.19,3.83,3.81,3.8
27,27,1277,1Oa6PpE1MYDT8OLRm8SBig,36.146651,-115.166948,4.5,89109.0,3,4,4.83,4.0,4.4,5.0,2.0,5.0,5.0,5.0
28,28,1283,1YxLacCdn4yYQDPUzdye8g,36.151084,-115.151678,4.0,89104.0,4,7,4.83,4.88,4.4,5.0,2.0,5.0,5.0,5.0
29,29,1301,1bfG-RJrbTmPBPHXdTx8ww,36.1308989,-115.1907847,3.5,89102.0,3,1,5.0,5.0,4.4,5.0,2.0,5.0,4.0,5.0
30,30,1307,1gkJBdrkfdO7rEMml9e2KQ,36.2395570019,-115.0796038143,4.0,89115.0,3,6,5.0,5.0,4.4,5.0,2.0,5.0,4.0,4.0
