,business_id,stars_y,categories_count,location,open,environment,value,taste,food,survice,feeling
0,01ZiJg7w-SwR0EpljCfvVA,5.0,4,2.33,3.0,1.2,3.0,1.0,2.24,3.33,3.33
1,039QG6ks4UYNkMA3mcII2A,4.5,4,2.94,2.57,1.2,3.0,1.0,2.24,2.33,2.33
2,03CPJNrFQsVPjSjoKEM-yQ,4.5,7,3.0,2.67,1.2,1.0,1.0,2.24,3.0,2.67
3,06O28tWO0UHdOJpGyu5wRg,5.0,10,2.0,1.0,1.2,1.0,1.0,2.24,2.29,3.0
4,07MpHT8TrGDI_UVktfKMPA,4.0,5,2.0,1.0,1.2,1.0,1.0,2.24,2.29,3.0
5,096iGHoQ-UImxUExuyqlZA,5.0,2,2.12,1.33,1.2,1.0,1.0,2.24,2.29,2.44
6,0G1y7uV7w1D2uziS4Lt_Dw,3.5,2,3.79,3.64,3.74,3.73,2.2,3.66,3.85,3.68
7,0G83H_zoum-Q4bWU2olTqQ,4.5,6,4.38,3.88,4.0,5.0,4.67,4.0,4.36,4.7
8,0ISVzBIyAUvSCxLlh-1B1Q,5.0,3,1.0,2.0,3.97,3.4,4.0,4.08,3.5,2.0
9,0M4fn7ib4zJF6CF0XPLSfg,4.5,5,1.0,2.0,3.97,3.4,4.0,4.08,3.5,2.0
10,0VR7qNhOKCPI0W__-NccEg,5.0,5,1.0,3.67,3.97,3.4,4.0,4.08,5.0,3.0
11,0VzICXStfUAG3QCEgLPeAA,3.5,4,3.92,1.0,3.97,3.4,4.0,4.08,3.82,3.0
12,0bSP8Md5Sz_NxByCsuoYCA,4.5,2,3.92,4.57,3.97,3.4,4.0,4.08,3.82,1.5
13,0e2oJ82g4ZfvQzIc8SE9Xw,4.5,3,2.25,3.74,3.97,1.0,4.0,4.08,3.6,3.78
14,0eaQLn6u8yhgts93_DlQ-A,4.5,8,3.43,4.0,3.97,4.75,4.0,4.08,4.0,4.6
15,0gTTGuA6uEmMhLhfJi0hqA,3.5,5,4.09,4.15,3.97,4.19,4.0,4.08,4.07,4.06
16,0mK7-2fQt684NLJt-ZBalg,4.0,4,4.27,4.75,3.93,4.4,3.5,5.0,4.43,4.12
17,0p405x2TRJCPYfHHt1sgTA,2.0,8,4.62,4.45,3.93,4.75,5.0,5.0,4.71,4.25
18,0rQbXoU_f2WQJiWHWFpgkQ,4.0,13,4.8,4.75,3.93,4.67,5.0,5.0,4.0,4.67
19,0uasL7MepHHQrVNgIhdG3g,2.5,2,5.0,5.0,3.93,5.0,5.0,5.0,4.0,5.0
20,0wkb5qqHP6PQlNhgwg2UmQ,3.0,3,4.2,4.5,3.93,4.5,5.0,5.0,4.0,5.0
21,0x-mYPoatVE0DNlZhha0_w,3.0,2,4.5,5.0,3.93,5.0,4.0,5.0,3.75,5.0
22,143ym0TQNgSVxW7BW23Azw,5.0,4,5.0,4.33,3.93,5.0,4.0,5.0,4.33,4.5
23,14UPvbDf13zKWim68HsHdQ,1.5,3,4.0,4.5,3.93,4.5,4.0,5.0,3.0,4.5
24,14v_52xWsg51JGffXDonAw,5.0,6,1.0,1.0,3.93,1.0,4.0,5.0,2.5,4.5
25,15KIfPDU5IQ07l79Wn1Eew,4.0,2,4.25,1.0,3.93,4.0,4.0,5.0,4.5,4.5
26,1Df5WnLX3DqN6ymlhqznaQ,4.5,6,3.89,3.97,3.93,4.01,4.19,3.83,3.81,3.8
27,1Oa6PpE1MYDT8OLRm8SBig,4.5,3,4.83,4.0,4.4,5.0,2.0,5.0,5.0,5.0
28,1YxLacCdn4yYQDPUzdye8g,4.0,4,4.83,4.88,4.4,5.0,2.0,5.0,5.0,5.0
29,1bfG-RJrbTmPBPHXdTx8ww,3.5,3,5.0,5.0,4.4,5.0,2.0,5.0,4.0,5.0
30,1gkJBdrkfdO7rEMml9e2KQ,4.0,3,5.0,5.0,4.4,5.0,2.0,5.0,4.0,4.0
31,1lp-Y6oaoI4BOPU3hyvIVQ,3.5,3,3.33,3.4,4.4,5.0,2.0,5.0,4.56,4.0
32,1wvXEL679JbB0c-XAUmvyg,3.5,3,3.22,3.67,4.4,5.0,2.0,5.0,5.0,5.0
33,2-LftWyZzwpevblta5xRIg,5.0,5,3.22,2.19,4.4,1.69,2.0,5.0,3.0,2.31
34,2-piM4HDzQh0vJQY3pjQ9g,4.0,3,2.78,3.18,4.4,3.08,2.0,5.0,4.17,3.47
35,21j71R7HELUZODhMLohg2Q,3.5,10,5.0,4.75,4.4,4.0,2.0,5.0,2.86,3.5
36,2EZXd2IaO745nDVYFJzIOA,5.0,5,5.0,4.5,4.4,5.0,2.0,5.0,5.0,4.8
37,2H-o9jNW-9xEz9F69WLNuA,2.0,3,5.0,3.5,4.4,5.0,2.0,5.0,4.0,3.0
38,2HjJeq0iwPeiJ4lR5Vf9NQ,3.0,2,5.0,3.5,4.4,5.0,2.0,5.0,4.0,4.25
39,2IqODXx1v_CwIKT57Xvp6Q,3.5,2,4.25,4.11,4.4,4.2,2.0,5.0,4.0,3.78
40,2KNH2fCFd3bB8787Tlo6vw,3.5,5,4.57,4.6,4.4,4.14,4.0,5.0,4.1,4.62
41,2NsEac9xCBI05bo5l4yI7Q,2.5,3,4.24,4.13,4.4,4.14,3.4,5.0,4.13,4.07
42,2VI5qse_Uew3szoTcLrJMg,4.5,4,5.0,4.11,4.4,4.5,4.33,5.0,3.86,5.0
43,2hrj6ISpLJmvRen3AZkBWw,2.5,4,3.6,4.11,4.4,4.5,4.33,5.0,3.86,4.25
44,2k01kgbLdNV9b19GrOqdNA,4.5,5,3.9,4.0,3.25,4.5,3.0,4.29,4.21,3.8
45,2mW2zWzctk8h5Q3PddzFKA,4.0,2,5.0,3.94,4.0,5.0,4.5,4.5,5.0,4.0
46,2qITBvSPsrXJPutDevpNOQ,2.5,7,3.88,3.94,4.0,4.5,4.5,4.5,4.09,4.0
47,2ud0HfV_-CgilOPfkwijsg,3.5,3,4.75,4.44,4.25,2.0,4.5,4.05,4.33,4.0
48,2xbxXWeu3tpZEJdGTTGbLg,3.5,2,3.82,4.78,4.25,4.5,5.0,4.05,4.25,4.12
49,31BSLQveLV7eeIoWNxhTaw,4.0,6,2.5,4.0,3.4,1.0,5.0,4.0,2.5,2.5
50,31kAtvJIvhXTmttehPbbBw,4.5,8,1.0,2.33,3.4,1.0,5.0,5.0,3.0,3.0
51,32FTAxYkehRO2lozvGszkQ,3.0,3,3.0,1.0,3.4,2.75,5.0,5.0,3.33,3.0
52,36qbJUFglkSb4BcblyTl3A,3.5,6,3.36,2.47,3.4,2.75,5.0,2.5,3.8,3.67
53,37Yr0CSGSuVdBnYfLLjkTQ,2.5,2,4.67,4.17,3.4,4.33,3.55,2.5,3.2,3.2
54,3AEWSso6YdRb00SICNKn7Q,4.0,3,3.67,3.92,3.4,4.33,3.55,4.0,2.5,1.0
55,3KNC2yixPC68n3MyEivl3A,4.0,4,3.71,2.57,3.4,3.4,5.0,2.0,2.5,3.22
56,3LtBbiCfZiRd_32RlbQInQ,5.0,3,3.33,4.5,3.4,2.5,5.0,2.0,3.0,4.67
57,3YKFxMfFfK-55u2PuaRNog,3.0,4,3.33,3.0,3.4,2.5,5.0,2.0,3.0,4.0
58,3aRt8JPhjkfvbhqb3kJsbg,4.5,3,3.5,4.0,3.4,3.5,5.0,3.68,3.56,4.0
59,3fdtp-bzoE4ZgTakkcEBzQ,4.0,16,3.39,3.45,3.4,3.38,4.5,3.68,3.82,3.69
60,3r8Habv8ufqrYIPLz_olEQ,4.5,4,3.5,2.0,4.5,5.0,3.5,2.33,2.0,2.0
61,3rFnH0MlGquQApfr4ss13Q,4.0,4,4.33,2.0,4.5,5.0,4.6,2.33,4.67,4.5
62,3rJJeMOkVi_wEura5UCQqw,3.5,6,4.8,4.59,4.5,3.25,4.6,2.33,4.67,4.54
63,3shPFnoXN6EWExMC4xLpNA,3.0,5,2.5,3.0,4.5,3.67,4.5,2.33,3.96,3.14
64,3tTCNu7VybuQyz7xuaFmTw,3.0,2,4.67,2.5,4.5,3.0,4.5,2.33,4.29,3.2
65,3y_WFe8yA19HvLrOp0ZTZw,5.0,4,1.0,3.33,3.25,4.5,4.5,4.0,4.5,4.0
66,44tjMHhONQgSBa0SW3C0zg,3.0,2,1.0,3.5,3.25,2.5,4.5,4.0,3.0,4.0
67,453CqRWFD0P8OLz4FyjyuQ,5.0,7,5.0,5.0,3.25,4.0,4.5,4.0,5.0,4.0
68,4D58TPFmXDusBhctwu2Hog,3.0,4,5.0,4.5,3.25,4.0,4.5,4.0,4.5,3.12
69,4F_7Ihf9FBXCW6PUllXptA,3.5,7,3.79,3.73,3.25,3.86,4.5,3.61,3.0,3.12
70,4KDP8NVVluJ-WvVTjcn1YQ,3.0,3,3.58,4.08,5.0,5.0,4.5,2.57,4.0,4.6
71,4RfLQ8p6kxZIU-A6_bKG0A,4.5,11,4.06,4.45,5.0,3.97,4.5,2.57,3.95,4.0
72,4cS8ql252b9OMlKeNq_YCQ,1.5,3,4.0,3.2,5.0,2.67,4.5,2.57,3.5,3.75
73,4dXINKRDfcRt-30R9WX-vg,3.5,4,2.6,3.2,5.0,2.67,4.5,2.57,3.0,3.75
74,4eO86WWyUBbsoCro6NrXEQ,3.0,2,3.61,3.67,5.0,5.0,5.0,5.0,3.0,2.75
75,4h1MHwFGWEx7H-KiHonEkg,4.5,4,3.61,3.5,5.0,4.33,5.0,5.0,3.0,3.78
76,4jubHRWnZICNNMyQwnyjQw,4.5,7,3.0,5.0,5.0,5.0,2.0,5.0,3.33,4.0
77,4kYZr9d_ohixJLHi9AVJDw,2.0,2,3.0,2.33,5.0,5.0,2.0,5.0,4.67,5.0
78,4n81G-pmC3rfhmaPsbwYKg,4.5,8,5.0,2.25,5.0,5.0,2.0,5.0,5.0,5.0
79,4qCzryr-lKCxI4GKZcuNDQ,3.0,4,1.0,2.25,5.0,2.0,2.0,5.0,2.0,5.0
80,57wIzrAx8b0OPcdDooS42w,4.0,2,3.12,1.0,5.0,2.0,2.0,5.0,2.0,3.0
81,59J4pWtw-WyDVGxl1EZTgw,5.0,4,3.12,2.0,5.0,2.0,2.0,5.0,2.0,3.0
82,59huubQWzzt8oOfOZ4w29g,1.5,6,3.12,3.62,5.0,4.29,1.0,5.0,2.6,5.0
83,5GzTTxyIJVRESNFOVPXHuw,2.5,2,5.0,3.4,5.0,1.0,1.0,5.0,4.2,4.2
84,5MfsMof-_ddB6MqdoyMXDQ,1.0,3,2.5,4.5,2.62,1.0,1.0,2.3,1.0,4.2
85,5NyAYogQEmUqz7ayXfN6NQ,3.0,7,2.0,3.0,2.62,1.0,1.0,2.3,1.0,4.2
86,5PX6Ekno5-LBmQA2bA_wuQ,4.5,9,3.36,3.22,2.62,3.19,1.0,2.3,4.12,4.27
87,5SZe-u0hyquuipQL5lbg_g,4.0,9,2.44,1.25,2.62,3.0,1.25,2.3,2.38,2.17
88,5dpRzuPxUYZ-Sxgf-regzw,1.5,3,4.4,1.0,4.0,2.0,1.0,3.6,2.0,4.0
89,5gZ4k_mdDOcEmCG4wHVH-g,2.5,5,4.4,3.17,4.0,2.0,1.0,3.6,4.0,5.0
90,5ma1OUQWy_Ds80xUiP7JPQ,4.0,3,3.63,3.61,3.83,3.35,3.82,3.54,3.42,3.62
91,5qG4UHurI1yEozwn25WAFw,4.0,9,3.84,3.82,3.95,3.94,3.71,3.85,3.78,3.91
92,5sFVttifV5ID8Gs0-iiAsA,5.0,4,1.0,1.0,3.74,1.33,4.22,4.18,1.0,1.33
93,5uT16_Lpl3hwvcONNds6DQ,3.0,7,1.5,1.2,3.74,1.33,4.22,4.18,1.33,1.5
94,5yZ1XmDcOEsElDeb9PlPDQ,4.0,3,4.07,3.72,3.74,3.72,4.22,4.18,4.0,4.29
95,67__d4hCRV47mNrMJabo5w,4.5,3,4.2,4.05,4.67,4.5,5.0,5.0,4.22,4.44
96,68MErw5ihghfLJY7ouxetg,3.5,4,3.0,4.0,4.67,3.77,5.0,4.5,5.0,3.0
97,68O4uYCd0YToLOLqHTBSZQ,5.0,5,4.0,4.02,4.67,3.77,5.0,4.5,5.0,4.17
